Plate,Well,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Big,Nuclei_Number_Dead,Nuclei_Number_Living,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,B03,LRRK2 WT: DoD 50,0.13,0.0162921,22.4421,19.3525,0.881366,0.79271,447.857,415.492,501.52,2497170.0,469.155,11.2364,15.1981,983.873,961.858,270565.0,407828.0,19564.9,8073.58,6010.15,21709.6,7814.19,0.384576,5380340.0,3539980.0,1969950.0,9204880.0,2609940.0,436.195,594.061,3408510.0,0.00203395,0.00179492,0.00193312,0.00180066,517.69,689.612,536.745,693.98,302665000.0,308571000.0,301585000.0,308531000.0,1.65102,1.72681,1.67096,1.72856,4.58246e-05,4.15921e-05,4.62146e-05,4.14692e-05,3.43197,3.47799,3.44823,3.47845,-0.273134,-0.250407,-0.263623,-0.250245,0.807665,0.787692,0.799242,0.78756,0.14189,0.122866,0.132421,0.122534,115.739,116.99,116.102,116.991,2.26345,2.26745,2.26549,2.26753,5768.28,5849.24,5780.12,5849.37,22274.4,22492.8,22297.7,22491.1,475.587,582.037,2101.64,2680.61,1237870.0,369.843,449.876,-2.08548,1134.35,21.6512,-2.23183,562.301,703.432,231.0,468.918,923.124,-2.57626,15.444,144.34,3102600.0,7586.15,289.968,340.695,337.583,6274.19,988.496,4925.35,0.381415,0.338419,0.816921,0.588072,0.463245,2.0,91.0,721.0,275.0,244.0,589.0,424.0,334.0,0.112069,0.887931,2891.63
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,C03,LRRK2 WT: DoD 50,0.0891998,0.0117914,30.2672,17.7887,0.908999,0.532218,489.326,410.422,476.576,2353390.0,426.681,10.1508,15.8844,864.21,981.432,217781.0,195305.0,17628.1,5730.53,5734.07,19257.4,7200.89,0.389032,4442270.0,1490860.0,991382.0,3832220.0,871308.0,438.052,497.736,3154360.0,0.001515,0.00134798,0.00142077,0.00135275,532.399,696.056,547.489,702.522,252124000.0,257241000.0,250224000.0,257191000.0,1.67626,1.74934,1.6961,1.74956,4.26727e-05,3.87535e-05,4.30435e-05,3.87902e-05,3.46561,3.51006,3.48174,3.51028,-0.269146,-0.248241,-0.259784,-0.248195,0.807016,0.78843,0.798496,0.788391,0.131581,0.113421,0.121985,0.113647,116.482,117.806,116.812,117.806,2.27867,2.28384,2.28169,2.28402,5643.14,5727.75,5652.28,5727.8,21765.2,22003.3,21781.2,22000.1,515.187,571.715,2177.1,1921.15,566047.0,337.719,455.892,-3.31632,894.108,20.9881,-2.87467,453.316,573.198,231.0,406.559,735.468,-3.18818,14.1762,89.8765,2035540.0,5704.22,305.835,313.069,302.975,4621.33,677.765,3808.49,0.571429,0.39229,0.589569,0.451247,0.274376,0.0,32.0,441.0,252.0,173.0,260.0,199.0,121.0,0.0676533,0.932347,2638.72
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,D03,LRRK2 WT: DoD 50,0.159363,0.0240736,19.3221,21.2126,1.15324,1.23456,478.923,388.539,562.74,2144750.0,372.076,10.258,17.4545,919.261,1039.63,260151.0,274462.0,18588.2,5641.56,5520.05,19407.4,6798.57,0.387859,5260470.0,1987220.0,1105750.0,5123560.0,1080970.0,400.716,579.947,2724300.0,0.00253234,0.00227815,0.00243094,0.00225563,492.512,660.431,510.021,660.457,215180000.0,219861000.0,213958000.0,219861000.0,1.63968,1.71498,1.66037,1.71604,4.66406e-05,4.24658e-05,4.69112e-05,4.22335e-05,3.39116,3.43753,3.4076,3.43834,-0.268571,-0.245771,-0.258498,-0.24516,0.800839,0.780311,0.791624,0.779807,0.145883,0.126907,0.136029,0.126321,108.47,109.671,108.786,109.669,2.23343,2.23905,2.23634,2.23912,5093.22,5168.2,5102.43,5168.13,19628.7,19828.2,19645.4,19827.9,450.447,408.296,1972.07,1648.99,709945.0,335.499,431.99,-1.9582,1040.8,20.0068,-2.45393,505.771,651.437,231.0,444.535,848.592,-2.61336,12.372,114.483,1730120.0,4945.62,303.525,353.435,319.403,5276.25,575.453,4149.22,0.449206,0.311111,0.571429,0.419048,0.252381,0.0,111.0,630.0,283.0,196.0,360.0,264.0,159.0,0.149798,0.850202,2611.88
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,E03,LRRK2 WT: DoD 50,0.242649,0.0477654,21.3481,24.5072,2.50822,2.8187,560.551,373.645,436.261,2447660.0,372.347,9.64286,15.0115,994.457,1066.39,139224.0,92776.0,18666.9,6064.63,6550.77,19588.9,6348.07,0.415132,2613360.0,707483.0,454847.0,1704240.0,349144.0,394.409,412.718,2503730.0,0.00239147,0.00215099,0.00232151,0.00214856,474.569,609.592,471.006,623.437,199493000.0,205011000.0,199176000.0,204883000.0,1.62734,1.69432,1.64178,1.70041,4.79947e-05,4.4221e-05,4.86528e-05,4.36032e-05,3.38571,3.42964,3.39967,3.43238,-0.277723,-0.25679,-0.269213,-0.255383,0.809348,0.791329,0.801619,0.790204,0.149206,0.131434,0.14061,0.130144,108.962,110.247,109.301,110.243,2.24025,2.24674,2.243,2.24665,5151.64,5232.43,5163.66,5232.22,19868.9,20108.6,19908.4,20100.7,388.966,381.926,2783.71,2054.8,300641.0,329.066,414.942,-0.905459,1077.13,22.0401,-1.98552,510.791,670.906,231.0,453.948,877.281,-2.37148,14.7278,117.888,1592320.0,4586.55,333.221,334.137,383.943,4097.07,588.843,2430.89,0.571429,0.306122,0.440816,0.355102,0.22449,0.0,32.0,245.0,140.0,75.0,108.0,87.0,55.0,0.115523,0.884477,2328.34
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,F03,LRRK2 WT: DoD 50,0.104367,0.0167075,21.6617,20.9336,0.877813,0.848568,534.521,431.871,607.86,2186500.0,382.232,8.6,14.8919,854.66,993.284,213665.0,147006.0,16266.0,4725.93,5062.85,19115.0,6163.73,0.433087,4066500.0,1225210.0,704163.0,2829020.0,548572.0,414.85,633.608,2557020.0,0.00321845,0.00295336,0.00313003,0.00291858,466.709,618.204,470.777,625.415,178508000.0,183112000.0,178283000.0,183071000.0,1.59757,1.66833,1.61453,1.67238,5.21041e-05,4.78931e-05,5.26782e-05,4.75426e-05,3.28435,3.32767,3.29892,3.3297,-0.2698,-0.248209,-0.260256,-0.247093,0.793793,0.774444,0.784917,0.773637,0.161204,0.142804,0.152067,0.141757,103.044,104.21,103.361,104.21,2.16762,2.17513,2.17133,2.17516,4830.0,4902.96,4838.62,4903.04,18622.4,18821.6,18643.0,18818.3,556.181,455.749,1966.54,1340.97,475902.0,336.211,460.007,-2.98643,1189.59,22.1049,-2.91664,567.899,729.898,231.0,483.199,962.97,-3.1922,17.0193,158.011,1773170.0,4772.07,322.376,322.525,313.119,3894.56,405.025,3094.61,0.478927,0.285441,0.463602,0.283525,0.170498,0.0,56.0,522.0,250.0,149.0,242.0,148.0,89.0,0.0968858,0.903114,2189.1
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,G03,LRRK2 WT: DoD 50,0.0555349,0.00714832,16.4257,14.1505,0.290109,0.247134,553.367,493.342,563.471,2757240.0,558.539,9.1608,16.7748,971.281,1154.02,193285.0,128096.0,18472.3,5077.47,5588.91,21292.1,6430.5,0.444575,3675990.0,1050720.0,558522.0,2363420.0,437274.0,620.673,454.709,3991240.0,0.00451954,0.00418552,0.004475,0.00420409,404.904,540.796,411.671,544.287,136550000.0,138795000.0,134430000.0,138821000.0,1.55157,1.62215,1.56656,1.62134,5.72586e-05,5.29301e-05,5.8034e-05,5.31379e-05,3.21301,3.25644,3.22512,3.25502,-0.269809,-0.246978,-0.260895,-0.247853,0.788253,0.767548,0.779553,0.768366,0.175717,0.156818,0.167317,0.157115,94.3618,95.3924,94.5461,95.3961,2.12462,2.13155,2.12719,2.13145,4222.46,4283.24,4223.04,4283.54,16268.1,16428.6,16257.6,16428.1,739.542,1149.06,2128.99,1390.45,400250.0,351.088,399.676,0.0160067,1476.07,18.2289,-0.749846,694.642,887.385,231.0,557.713,1189.06,-1.10046,10.5074,211.678,1747060.0,4141.06,355.064,459.26,331.516,3494.48,375.899,2506.62,0.422505,0.233546,0.399151,0.235669,0.144374,0.0,70.0,471.0,199.0,110.0,188.0,111.0,68.0,0.12939,0.87061,2303.29
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,H03,LRRK2 WT: DoD 50,0.0912578,0.0171614,25.3886,17.1657,1.0978,0.713207,464.908,384.679,857.783,2114030.0,401.941,6.97527,21.8705,569.106,1102.17,161057.0,153202.0,13490.4,4474.45,5495.58,20795.8,7934.33,0.553243,3817780.0,1599210.0,841196.0,2890620.0,579206.0,420.336,1016.17,3335080.0,0.00152947,0.00136382,0.00143535,0.00136285,514.989,698.581,521.082,698.312,258163000.0,263979000.0,258479000.0,263917000.0,1.66586,1.74307,1.68508,1.74321,4.35279e-05,3.93297e-05,4.38364e-05,3.93211e-05,3.43375,3.48058,3.44963,3.48072,-0.268734,-0.246518,-0.259348,-0.246474,0.805352,0.785547,0.796847,0.785656,0.13543,0.116482,0.125488,0.116517,113.426,114.786,113.756,114.786,2.25804,2.26303,2.26119,2.26291,5399.17,5484.3,5408.35,5484.21,20816.7,21048.4,20839.0,21048.2,401.774,443.477,1778.37,961.681,517507.0,329.596,437.9,-2.7492,976.793,21.6817,-2.48045,479.126,617.931,231.0,427.31,800.207,-2.61983,11.8741,99.5555,2210390.0,5800.9,304.19,352.247,292.021,2276.13,345.749,2183.43,0.555992,0.369352,0.571709,0.273084,0.143418,3.0,55.0,509.0,283.0,188.0,291.0,139.0,73.0,0.0975177,0.902482,2593.05
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,I03,LRRK2 WT: DoD 50,0.0869191,0.0118694,21.5426,18.058,0.626775,0.548288,561.85,385.231,618.046,1965760.0,388.924,6.5,13.8876,843.893,1165.44,165403.0,103724.0,16064.2,4373.7,5102.81,21464.9,5772.69,0.491482,3148580.0,938917.0,520470.0,1910380.0,352134.0,420.565,526.146,2427790.0,0.00222464,0.00201165,0.0021292,0.00200738,400.414,549.328,407.507,542.45,111010000.0,113828000.0,110383000.0,113854000.0,1.57945,1.65444,1.5986,1.65267,5.29726e-05,4.82698e-05,5.31152e-05,4.85021e-05,3.25241,3.29872,3.26855,3.29829,-0.272029,-0.249391,-0.261061,-0.249605,0.795209,0.775138,0.784934,0.775493,0.162321,0.142914,0.15218,0.142926,95.0002,96.1355,95.2471,96.1335,2.14959,2.15838,2.15329,2.15824,4178.15,4245.33,4182.33,4245.16,16094.7,16275.5,16099.9,16278.4,455.181,499.121,1702.54,1081.51,313268.0,333.091,433.55,-2.26459,1121.04,21.7088,-2.52299,515.892,692.518,231.0,465.535,909.254,-2.78627,12.6675,117.31,1545540.0,4420.55,375.846,539.212,407.976,2679.44,244.908,1707.78,0.444444,0.269841,0.417234,0.201814,0.138322,0.0,67.0,441.0,196.0,119.0,184.0,89.0,61.0,0.13189,0.86811,2257.33
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,J03,LRRK2 WT: DoD 50,0.0735446,0.00813986,15.8625,16.5371,0.320508,0.337842,532.79,413.62,701.753,2188230.0,435.563,5.55696,11.037,834.766,942.914,131893.0,76376.0,16322.7,4725.43,5290.44,18160.0,6072.72,0.568261,2578990.0,835890.0,434740.0,1470960.0,303636.0,489.801,394.834,2974420.0,0.00470805,0.00434956,0.00460304,0.00435165,431.516,586.592,441.27,578.428,130181000.0,133161000.0,129315000.0,133220000.0,1.56791,1.64412,1.58879,1.64204,5.50716e-05,5.03387e-05,5.51713e-05,5.04668e-05,3.23356,3.28128,3.25045,3.27998,-0.271956,-0.247598,-0.260578,-0.24824,0.791683,0.770148,0.781262,0.770813,0.174224,0.153656,0.163832,0.154128,95.9841,97.1276,96.289,97.1284,2.13834,2.14626,2.14167,2.14605,4247.98,4315.27,4256.09,4315.32,16350.0,16527.5,16368.5,16531.9,523.508,681.906,2011.32,1158.89,317789.0,358.219,467.066,0.420518,1805.13,18.6583,-2.42923,781.205,1060.06,231.0,643.5,1440.83,-2.414,13.4444,266.842,1947340.0,5002.36,348.867,380.407,553.312,2974.52,286.582,1576.21,0.430518,0.250681,0.430518,0.220708,0.13624,0.0,39.0,367.0,158.0,92.0,158.0,81.0,50.0,0.0960591,0.903941,2259.41
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,K03,LRRK2 WT: DoD 50,0.0821115,0.0244211,21.3347,19.1027,1.26393,1.17174,536.068,468.438,698.479,2499650.0,545.797,5.88406,11.1927,711.995,865.541,147383.0,94344.0,14435.3,4751.53,5336.15,17715.4,5456.33,0.58585,2988120.0,1131260.0,603444.0,1930980.0,376487.0,654.596,815.009,3571690.0,0.0027456,0.00245915,0.00265626,0.00246471,444.253,597.037,449.156,600.287,148272000.0,151503000.0,146598000.0,151462000.0,1.60075,1.67528,1.61731,1.67633,5.08959e-05,4.6347e-05,5.14782e-05,4.6204e-05,3.30933,3.35654,3.32364,3.35669,-0.273616,-0.250525,-0.263949,-0.25046,0.800887,0.780629,0.791908,0.780651,0.15894,0.139839,0.150076,0.139443,99.075,100.208,99.3158,100.208,2.18691,2.19435,2.18998,2.19424,4436.28,4503.61,4440.59,4503.59,17079.1,17257.9,17085.2,17256.2,462.496,524.573,1955.75,1212.86,414619.0,529.453,1014.43,-14.2081,2079.79,17.5665,-11.4484,937.665,1206.56,231.0,714.726,1653.08,-13.687,11.2849,300.904,3041870.0,4524.11,340.866,484.35,372.882,2855.55,435.071,1928.25,0.442308,0.271368,0.452991,0.232906,0.147436,0.0,62.0,468.0,207.0,127.0,212.0,109.0,69.0,0.116981,0.883019,2399.06
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,L03,LRRK2 WT: DoD 50,0.0577954,0.01033,16.3451,16.8874,0.420297,0.422815,570.857,443.576,478.043,2378000.0,463.427,5.90826,13.4316,756.303,1020.98,164874.0,96993.0,15177.6,4387.82,5360.99,19505.0,5773.8,0.598889,3308730.0,1109720.0,557253.0,1852970.0,352202.0,566.657,609.16,3271760.0,0.00715741,0.0066764,0.00705366,0.00669905,388.816,535.51,398.497,535.736,104779000.0,106819000.0,103713000.0,106805000.0,1.51942,1.59379,1.54007,1.59503,6.01352e-05,5.57493e-05,6.0427e-05,5.54547e-05,3.1501,3.19602,3.16591,3.19707,-0.273149,-0.248868,-0.262284,-0.248395,0.786213,0.764685,0.776129,0.764158,0.191259,0.171324,0.181181,0.170812,88.1353,89.163,88.3824,89.1649,2.08914,2.09606,2.09158,2.09618,3812.56,3871.82,3818.34,3872.0,14669.6,14820.3,14679.7,14820.9,653.577,1003.73,1610.35,815.543,333342.0,331.392,421.711,-0.538573,1601.51,18.0489,-2.09518,698.143,943.573,231.0,590.864,1275.75,-2.13655,11.2516,213.772,1409800.0,4057.03,351.358,598.846,270.971,2687.34,301.29,1799.79,0.436874,0.254509,0.41483,0.190381,0.122244,0.0,134.0,499.0,218.0,127.0,207.0,95.0,61.0,0.21169,0.78831,2239.58
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,M03,LRRK2 WT: DoD 50,0.0541639,0.0169009,21.7457,19.8133,0.911658,0.849258,510.177,381.732,484.381,1780640.0,400.241,6.00962,12.3714,788.793,930.229,164069.0,97674.0,15759.3,4557.2,4664.65,18883.7,6443.58,0.581086,3277940.0,1152170.0,624337.0,1982780.0,367284.0,426.431,740.101,2747740.0,0.00338687,0.00309149,0.00326982,0.00309267,429.793,575.77,434.464,588.722,124483000.0,127196000.0,122923000.0,127080000.0,1.58326,1.65539,1.60116,1.66101,5.33694e-05,4.90578e-05,5.3942e-05,4.85511e-05,3.26773,3.31289,3.28201,3.31595,-0.275806,-0.253189,-0.265412,-0.251728,0.799652,0.779825,0.790102,0.778652,0.167278,0.148179,0.157547,0.14699,96.4406,97.5527,96.6267,97.5513,2.16484,2.17259,2.16762,2.17264,4267.65,4332.8,4268.86,4332.74,16426.5,16600.1,16420.6,16593.3,456.514,560.394,1413.72,940.058,349189.0,355.0,485.265,-4.04388,975.962,20.2012,-3.53021,481.266,613.321,231.0,427.962,795.132,-3.70925,17.1512,101.237,1569330.0,4190.05,334.872,392.26,518.968,2863.31,299.648,1830.8,0.388785,0.256075,0.461682,0.196262,0.106542,0.0,87.0,535.0,208.0,137.0,247.0,105.0,57.0,0.139871,0.860129,2391.02
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,N03,LRRK2 WT: DoD 50,0.113446,0.0105033,23.9664,23.9752,0.644101,0.625224,485.679,1133.04,910.095,5618610.0,1866.87,8.49673,14.1121,910.392,1117.07,139290.0,129580.0,17545.6,5396.01,4958.89,23940.3,6163.51,0.324989,2684470.0,902518.0,447869.0,2777080.0,351320.0,2276.63,2636.02,14032000.0,0.00381358,0.00356444,0.00371883,0.00354027,450.059,599.803,457.006,590.403,154005000.0,157199000.0,152808000.0,157287000.0,1.60479,1.67692,1.62428,1.67459,5.01099e-05,4.6132e-05,5.04133e-05,4.61708e-05,3.30012,3.34398,3.31554,3.343,-0.270019,-0.248594,-0.259753,-0.24885,0.795352,0.776479,0.785937,0.776775,0.157081,0.138956,0.147122,0.138976,103.436,104.671,103.733,104.671,2.17568,2.18374,2.17936,2.18352,4747.09,4823.51,4754.64,4823.55,18299.4,18515.2,18316.7,18520.2,3198.62,6654.99,1378.27,1300.84,250846.0,326.803,434.658,-2.16556,1086.59,23.1112,-2.86023,526.417,676.194,231.0,456.255,884.235,-2.95415,15.8245,133.093,1318180.0,3934.12,328.367,342.77,700.28,3619.63,356.17,2354.02,0.338496,0.183628,0.402655,0.256637,0.126106,0.0,70.0,452.0,153.0,83.0,182.0,116.0,57.0,0.1341,0.8659,2417.0
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,O03,LRRK2 WT: DoD 50,0.228612,0.0508509,26.3588,27.2196,3.33689,3.44016,479.402,359.684,535.464,1669610.0,368.974,6.27982,16.3,795.142,1163.11,173341.0,116311.0,15080.0,4689.52,4641.88,22101.7,7096.1,0.711978,3287440.0,1573600.0,694049.0,2210170.0,425766.0,383.075,869.591,2718340.0,0.0033929,0.00307618,0.00329002,0.00308084,409.147,553.891,419.288,550.851,124940000.0,127767000.0,124246000.0,127781000.0,1.55754,1.63226,1.57647,1.63217,5.64894e-05,5.15388e-05,5.68813e-05,5.14274e-05,3.23279,3.28064,3.24838,3.28104,-0.274065,-0.249787,-0.263556,-0.249609,0.794648,0.77314,0.7849,0.77288,0.174956,0.154656,0.165217,0.154435,93.548,94.6873,93.842,94.6876,2.14256,2.1506,2.14578,2.15048,4107.48,4174.6,4116.92,4174.61,15810.3,15993.0,15834.9,15994.6,386.575,370.381,1544.03,994.358,523427.0,368.646,517.628,-4.70299,1726.77,19.3985,-3.93544,745.78,1016.07,231.0,622.84,1377.76,-4.14643,20.9001,235.68,1913160.0,4829.93,343.416,370.55,362.603,2596.47,295.962,2023.73,0.322009,0.218612,0.500739,0.14771,0.0886263,0.0,69.0,677.0,218.0,148.0,339.0,100.0,60.0,0.0924933,0.907507,2473.03
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,B04,LRRK2 WT: DoD 50,0.114789,0.0229467,19.643,19.1821,1.08386,1.05293,456.184,397.221,501.143,2411380.0,428.19,10.1837,13.1523,940.204,894.705,276420.0,364145.0,19198.1,7598.84,6070.64,22093.2,7335.09,0.344986,5644240.0,3102100.0,1861720.0,8991940.0,2332560.0,409.255,561.439,3001930.0,0.0021281,0.00191513,0.00205261,0.00190185,558.049,727.925,568.047,731.663,330465000.0,337040000.0,329591000.0,337093000.0,1.68225,1.7555,1.6985,1.75663,4.22068e-05,3.83303e-05,4.27895e-05,3.82819e-05,3.4881,3.53259,3.50175,3.53272,-0.271807,-0.250221,-0.263811,-0.250067,0.810072,0.791234,0.802856,0.790992,0.133129,0.114769,0.124593,0.114721,122.173,123.481,122.52,123.482,2.29586,2.29988,2.29842,2.29993,6160.44,6246.86,6171.67,6246.96,23788.0,24027.6,23812.0,24026.1,424.567,459.842,2305.46,2779.07,1178090.0,343.798,463.723,-3.21618,1092.2,21.3102,-2.81523,528.76,681.845,231.0,457.707,891.322,-3.12143,16.1099,128.772,2309040.0,6224.62,294.092,314.561,371.095,5487.64,802.284,4690.88,0.460815,0.384013,0.80094,0.637931,0.498433,1.0,51.0,638.0,294.0,245.0,511.0,407.0,318.0,0.0740203,0.92598,2812.64
SNCA-Mat61-x40-d50-map2-snca-th-p1-AV,C04,LRRK2 WT: DoD 50,0.0878871,0.0170749,18.9561,20.3485,0.790073,0.827076,533.015,425.436,420.448,2597730.0,445.557,12.6269,25.4143,1014.25,1495.19,331659.0,313989.0,18928.6,6189.17,6106.05,24861.7,8585.24,0.453777,6189650.0,2369150.0,1553480.0,5220950.0,1347880.0,473.329,440.001,4063650.0,0.00208815,0.00184325,0.0019846,0.00184651,531.809,692.176,540.002,705.625,230663000.0,235036000.0,229672000.0,234934000.0,1.66552,1.73834,1.68413,1.74238,4.36489e-05,3.96523e-05,4.4013e-05,3.92696e-05,3.44765,3.49383,3.46398,3.49563,-0.266008,-0.243655,-0.256777,-0.242714,0.801757,0.781367,0.793363,0.78046,0.137696,0.118829,0.128063,0.118205,113.079,114.342,113.473,114.342,2.26566,2.27038,2.26893,2.27043,5321.19,5399.01,5334.68,5399.04,20494.9,20708.9,20532.5,20702.3,487.764,524.676,2755.09,2461.08,1068980.0,342.646,464.229,-3.23832,1126.55,20.2753,-2.8189,521.952,694.453,231.0,466.591,912.029,-3.05205,13.3646,125.132,2293740.0,6087.96,311.681,346.863,318.792,5013.84,905.928,4939.02,0.563793,0.432759,0.668966,0.362069,0.27069,0.0,49.0,580.0,327.0,251.0,388.0,210.0,157.0,0.0779014,0.922099,2574.37
